dw_date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01/01/2050,77.8,73.9,100.0,100.0,86.7,100.0,77.3,36.8,96.2,56.1,25.6,66.1,22.8,9.5,3.7,3.3,63.7,92.3,66.5,98.1,78.0,41.7,25.9,6.3
01/02/2050,78.2,74.0,100.0,100.0,86.6,100.0,77.3,36.8,96.1,56.1,25.6,66.0,22.7,9.5,3.7,3.3,63.7,92.3,66.3,98.3,77.9,41.6,25.9,6.3
01/03/2050,78.0,74.1,100.0,100.0,86.5,100.0,77.2,36.7,96.0,56.0,25.6,66.0,22.7,9.4,3.7,3.3,63.8,92.2,66.2,98.5,77.8,41.6,25.8,6.3
01/04/2050,77.8,74.1,100.0,100.0,86.4,100.0,77.2,36.8,95.9,55.9,25.6,65.9,22.6,9.4,3.7,3.3,63.9,92.2,66.1,98.7,77.7,41.5,25.8,6.3
01/05/2050,78.0,74.1,100.0,100.0,86.3,100.0,77.1,36.8,95.8,55.8,25.5,65.8,22.5,9.4,3.7,3.2,63.9,92.1,66.1,98.9,77.6,41.4,25.7,6.3
01/06/2050,78.0,74.3,100.0,100.0,86.4,100.0,77.0,36.8,95.8,55.7,25.5,65.8,22.4,9.3,3.6,3.2,63.9,92.1,66.0,99.0,77.5,41.4,25.7,6.2
01/07/2050,77.8,74.3,100.0,100.0,86.2,100.0,76.8,36.8,95.7,55.6,25.5,65.7,22.2,9.3,3.6,3.2,64.0,92.0,65.9,99.2,77.5,41.3,25.7,6.2
01/08/2050,77.8,74.3,100.0,100.0,86.2,100.0,76.8,36.8,95.7,55.6,25.5,65.6,22.2,9.2,3.6,3.2,64.0,91.9,65.8,99.3,77.3,41.3,25.6,6.2
01/09/2050,77.8,74.5,100.0,100.0,86.2,100.0,76.7,36.7,95.6,55.5,25.5,65.6,22.1,9.3,3.6,3.2,64.0,91.8,65.8,99.5,77.2,41.2,25.6,6.2
01/10/2050,77.5,74.5,100.0,100.0,86.1,100.0,76.7,36.7,95.5,55.4,25.5,65.6,22.0,9.3,3.6,3.2,63.9,91.8,65.7,99.5,77.2,41.2,25.6,6.2
