dw_date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01/01/2050,99.0,692.0,636.0,1000.0,111.0,1020.0,112.0,66.5,135.0,71.6,103.0,106.0,53.7,55.6,52.8,54.3,293.0,292.0,95.1,663.0,80.1,54.1,104.0,61.8
01/02/2050,99.0,683.0,637.0,1200.0,115.0,1020.0,112.0,66.4,140.0,71.6,103.0,106.0,53.7,55.5,52.9,51.9,292.0,292.0,95.1,672.0,80.1,54.1,105.0,61.5
01/03/2050,101.0,643.0,752.0,1300.0,116.0,1020.0,113.0,60.2,143.0,71.3,103.0,106.0,53.7,55.5,56.8,54.1,292.0,293.0,95.7,678.0,80.1,57.6,105.0,61.6
01/04/2050,102.0,588.0,833.0,1300.0,116.0,1020.0,114.0,78.1,144.0,71.3,103.0,106.0,53.7,54.9,58.3,56.6,292.0,294.0,90.1,672.0,80.3,68.7,105.0,61.5
01/05/2050,102.0,589.0,834.0,760.0,116.0,1020.0,115.0,88.4,145.0,71.7,103.0,103.0,53.7,54.2,58.4,58.4,293.0,302.0,85.7,668.0,80.3,75.7,105.0,61.3
01/06/2050,102.0,512.0,834.0,220.0,114.0,1020.0,112.0,83.9,145.0,71.8,103.0,103.0,53.8,111.0,58.4,58.3,295.0,303.0,85.7,667.0,80.5,75.9,105.0,61.6
01/07/2050,106.0,400.0,833.0,220.0,110.0,1020.0,112.0,82.3,166.0,75.3,102.0,105.0,53.8,61.4,58.5,58.3,317.0,303.0,85.7,665.0,81.1,71.2,105.0,61.4
01/08/2050,104.0,399.0,834.0,220.0,110.0,1020.0,111.0,82.3,184.0,77.8,102.0,109.0,54.0,64.4,58.5,58.3,362.0,300.0,85.6,667.0,81.7,63.1,105.0,61.6
01/09/2050,104.0,399.0,834.0,220.0,110.0,980.0,110.0,82.1,184.0,72.0,102.0,116.0,54.2,92.0,58.4,58.3,362.0,299.0,85.7,671.0,81.5,59.3,105.0,61.7
01/10/2050,101.0,407.0,834.0,209.0,110.0,668.0,107.0,73.7,183.0,77.0,102.0,119.0,51.6,95.2,58.4,54.7,362.0,298.0,85.7,673.0,72.7,58.5,105.0,61.6
01/11/2050,98.0,405.0,742.0,210.0,110.0,521.0,107.0,73.4,184.0,73.2,102.0,124.0,57.0,96.1,58.3,52.8,362.0,299.0,85.6,681.0,82.6,56.9,106.0,61.9
01/12/2050,99.0,405.0,639.0,218.0,109.0,526.0,109.0,69.9,184.0,72.7,102.0,116.0,53.5,98.3,54.8,52.4,362.0,287.0,85.7,692.0,82.6,57.5,107.0,61.9
01/13/2050,98.0,566.0,639.0,214.0,105.0,631.0,111.0,98.6,184.0,71.7,102.0,101.0,56.8,101.0,52.8,52.5,362.0,258.0,85.7,708.0,81.5,58.6,105.0,62.0
01/14/2050,98.0,777.0,639.0,213.0,105.0,190.0,125.0,100.0,195.0,71.7,103.0,100.0,56.9,98.8,52.8,52.7,355.0,251.0,85.7,704.0,81.5,58.6,106.0,62.2
01/15/2050,99.0,775.0,641.0,214.0,105.0,451.0,125.0,96.5,214.0,63.2,112.0,123.0,56.9,98.9,52.8,52.5,312.0,252.0,85.7,697.0,81.6,59.0,104.0,62.4
01/16/2050,100.0,783.0,618.0,214.0,117.0,524.0,125.0,102.0,213.0,62.0,113.0,146.0,56.7,98.8,52.8,55.5,311.0,251.0,85.8,693.0,81.7,58.6,104.0,62.3
01/17/2050,102.0,937.0,556.0,212.0,113.0,486.0,124.0,101.0,213.0,62.0,113.0,144.0,56.8,98.6,52.1,55.5,312.0,306.0,86.8,692.0,81.7,58.8,104.0,62.6
01/18/2050,102.0,1040.0,428.0,213.0,108.0,441.0,125.0,101.0,213.0,61.8,111.0,107.0,65.5,98.9,51.9,55.5,301.0,401.0,87.1,684.0,81.6,59.3,104.0,62.6
01/19/2050,102.0,926.0,407.0,214.0,107.0,441.0,125.0,104.0,213.0,61.6,110.0,181.0,53.3,92.8,51.9,55.5,290.0,499.0,87.1,315.0,82.0,58.4,104.0,59.9
01/20/2050,102.0,695.0,407.0,215.0,108.0,445.0,124.0,105.0,214.0,61.8,109.0,83.9,57.0,84.4,51.9,55.5,291.0,585.0,86.9,313.0,82.2,42.7,105.0,64.2
01/21/2050,102.0,601.0,408.0,215.0,187.0,447.0,123.0,105.0,210.0,61.2,108.0,116.0,57.2,80.8,51.9,56.0,291.0,586.0,86.6,313.0,85.9,56.7,106.0,58.3
01/22/2050,102.0,601.0,408.0,215.0,342.0,441.0,125.0,103.0,209.0,60.5,108.0,119.0,57.4,80.8,51.9,86.5,291.0,585.0,86.5,684.0,89.3,57.2,105.0,58.1
01/23/2050,102.0,601.0,410.0,214.0,336.0,441.0,124.0,103.0,206.0,58.7,108.0,119.0,57.4,80.7,52.0,94.3,291.0,589.0,86.4,1220.0,94.2,57.8,105.0,58.0
01/24/2050,98.0,623.0,410.0,214.0,339.0,441.0,124.0,106.0,206.0,58.6,107.0,119.0,57.9,78.2,51.9,94.3,291.0,591.0,86.8,1220.0,90.1,57.8,105.0,57.5
01/25/2050,102.0,730.0,410.0,215.0,338.0,447.0,124.0,106.0,206.0,58.6,107.0,119.0,91.1,75.9,51.2,94.7,265.0,588.0,86.9,1230.0,85.3,63.1,82.5,53.3
01/26/2050,103.0,787.0,409.0,215.0,337.0,421.0,124.0,105.0,206.0,58.6,107.0,119.0,89.1,74.7,51.1,95.7,259.0,577.0,86.9,1220.0,85.0,69.1,105.0,62.2
01/27/2050,104.0,794.0,410.0,215.0,325.0,469.0,125.0,105.0,204.0,58.8,107.0,119.0,91.5,74.9,51.1,95.1,262.0,571.0,87.1,1220.0,84.7,65.4,96.8,62.4
01/28/2050,103.0,841.0,479.0,215.0,290.0,598.0,126.0,105.0,207.0,58.6,108.0,119.0,90.8,75.0,51.1,94.6,246.0,580.0,86.9,1220.0,85.2,62.9,84.9,62.5
01/29/2050,103.0,957.0,588.0,215.0,312.0,704.0,125.0,104.0,210.0,58.6,110.0,119.0,91.2,75.0,51.3,98.2,221.0,581.0,86.8,1220.0,90.0,60.6,79.4,62.3
01/30/2050,103.0,1050.0,645.0,215.0,313.0,704.0,126.0,103.0,211.0,58.6,108.0,119.0,91.4,69.1,51.1,92.4,221.0,581.0,87.1,839.0,91.0,60.4,78.9,63.0
01/31/2050,96.0,1050.0,645.0,215.0,313.0,715.0,127.0,103.0,211.0,58.6,108.0,119.0,91.2,65.3,51.1,85.0,220.0,582.0,87.0,707.0,90.4,59.5,80.1,62.9
02/01/2050,106.0,1050.0,643.0,215.0,313.0,746.0,131.0,104.0,211.0,58.6,108.0,125.0,86.3,60.3,50.6,87.4,202.0,480.0,86.9,708.0,93.0,57.1,83.3,64.3
02/02/2050,106.0,1050.0,643.0,215.0,276.0,940.0,134.0,103.0,211.0,58.6,108.0,128.0,73.4,58.4,50.3,88.8,191.0,320.0,87.0,709.0,92.7,54.5,90.7,63.0
02/03/2050,105.0,1050.0,642.0,216.0,246.0,1060.0,134.0,103.0,210.0,55.6,114.0,128.0,73.4,57.0,50.2,89.7,197.0,320.0,87.1,706.0,92.8,52.5,107.0,62.5
02/04/2050,104.0,1050.0,562.0,218.0,247.0,1050.0,134.0,103.0,208.0,51.9,118.0,129.0,73.4,55.3,50.5,89.7,187.0,320.0,87.0,675.0,92.8,51.1,97.7,62.7
02/05/2050,102.0,1050.0,462.0,218.0,245.0,1050.0,134.0,102.0,204.0,52.3,119.0,128.0,73.5,54.6,50.2,88.8,175.0,320.0,87.1,529.0,93.0,53.4,92.3,62.8
02/06/2050,102.0,999.0,456.0,215.0,236.0,1050.0,136.0,98.9,201.0,56.7,118.0,128.0,73.4,58.0,50.2,89.0,175.0,320.0,87.1,529.0,93.1,52.5,88.9,62.8
02/07/2050,102.0,927.0,456.0,215.0,231.0,1060.0,139.0,101.0,201.0,53.9,117.0,128.0,73.5,56.5,50.3,89.1,175.0,320.0,87.1,533.0,93.1,53.8,91.5,63.1
02/08/2050,103.0,877.0,442.0,215.0,231.0,1050.0,137.0,101.0,201.0,49.5,117.0,129.0,68.6,55.2,50.0,82.8,175.0,226.0,87.1,532.0,93.0,53.6,89.6,63.5
02/09/2050,103.0,830.0,404.0,215.0,232.0,1040.0,137.0,101.0,201.0,42.3,115.0,129.0,60.8,55.5,49.4,80.4,175.0,321.0,87.1,535.0,92.9,53.2,88.3,63.3
02/10/2050,103.0,828.0,403.0,215.0,238.0,814.0,138.0,101.0,200.0,41.0,115.0,129.0,58.5,55.2,49.4,80.3,128.0,319.0,86.8,535.0,93.0,53.8,88.1,62.8
02/11/2050,106.0,828.0,386.0,217.0,241.0,598.0,137.0,101.0,203.0,40.6,116.0,129.0,58.3,54.7,49.4,64.3,159.0,319.0,86.5,530.0,92.9,54.9,85.3,63.1
02/12/2050,106.0,832.0,357.0,219.0,282.0,563.0,136.0,100.0,203.0,40.6,115.0,129.0,58.4,54.4,49.3,62.5,158.0,320.0,86.6,530.0,94.4,53.3,82.8,63.1
02/13/2050,106.0,837.0,357.0,218.0,327.0,557.0,132.0,99.6,203.0,42.7,118.0,129.0,58.8,54.4,49.7,66.2,159.0,320.0,87.6,530.0,92.4,52.6,80.2,63.0
02/14/2050,105.0,837.0,357.0,2210.0,328.0,625.0,130.0,99.0,203.0,50.0,117.0,129.0,58.4,54.5,50.2,67.7,159.0,323.0,85.9,503.0,93.0,53.5,80.4,63.2
02/15/2050,106.0,837.0,348.0,5280.0,327.0,704.0,131.0,99.3,177.0,48.3,117.0,129.0,58.4,54.3,50.3,67.7,158.0,319.0,84.0,426.0,92.9,54.8,78.4,63.2
02/16/2050,106.0,963.0,330.0,5250.0,327.0,697.0,133.0,99.1,156.0,40.3,117.0,129.0,58.4,54.4,50.2,68.0,158.0,320.0,83.8,424.0,93.0,54.5,78.1,63.2
02/17/2050,106.0,907.0,326.0,5230.0,221.0,694.0,134.0,98.8,155.0,43.4,116.0,129.0,59.0,54.4,50.2,67.7,159.0,362.0,84.1,423.0,92.6,67.6,76.8,63.1
02/18/2050,106.0,547.0,327.0,3390.0,237.0,694.0,136.0,100.0,152.0,46.2,148.0,129.0,71.6,54.2,50.2,67.8,159.0,434.0,84.2,424.0,92.6,72.5,76.4,63.2
02/19/2050,105.0,781.0,327.0,690.0,237.0,688.0,136.0,99.4,148.0,46.6,358.0,129.0,97.7,54.5,50.3,67.6,132.0,576.0,84.2,426.0,92.7,72.0,76.4,62.8
02/20/2050,105.0,1070.0,326.0,216.0,237.0,685.0,137.0,99.7,148.0,42.6,373.0,129.0,97.3,54.6,50.3,67.8,129.0,617.0,84.4,426.0,91.8,75.5,75.1,63.1
02/21/2050,103.0,1080.0,326.0,203.0,237.0,687.0,136.0,100.0,148.0,43.8,406.0,129.0,96.6,55.0,50.4,67.7,129.0,570.0,84.3,427.0,91.4,77.2,68.3,63.1
02/22/2050,97.0,1080.0,325.0,196.0,237.0,683.0,137.0,99.5,147.0,50.8,467.0,131.0,96.2,55.5,50.5,67.7,128.0,767.0,84.3,427.0,91.4,80.2,68.3,63.4
02/23/2050,98.0,1080.0,325.0,192.0,240.0,680.0,137.0,100.0,149.0,51.3,674.0,131.0,96.3,55.5,50.2,56.4,131.0,1070.0,85.2,410.0,91.2,80.6,68.5,63.3
02/24/2050,97.0,1080.0,326.0,189.0,246.0,680.0,137.0,99.9,149.0,50.0,799.0,131.0,95.8,55.6,50.2,55.5,128.0,900.0,84.3,324.0,91.2,80.4,68.2,63.7
02/25/2050,97.0,1080.0,329.0,189.0,268.0,672.0,129.0,99.9,149.0,52.0,802.0,131.0,95.9,55.6,50.3,55.2,128.0,374.0,84.2,325.0,98.3,80.6,68.2,63.6
02/26/2050,97.0,1070.0,328.0,188.0,322.0,672.0,129.0,98.7,148.0,51.9,802.0,131.0,95.9,55.6,50.8,59.4,128.0,262.0,84.2,324.0,104.0,75.1,68.1,63.6
02/27/2050,96.0,1080.0,327.0,187.0,322.0,669.0,132.0,99.2,138.0,56.4,802.0,131.0,95.9,55.7,50.4,61.4,128.0,809.0,84.2,323.0,101.0,72.8,67.8,63.2
02/28/2050,97.0,1080.0,327.0,187.0,323.0,816.0,133.0,98.9,115.0,57.0,805.0,131.0,95.9,55.6,50.4,61.5,128.0,1050.0,84.2,325.0,95.5,77.4,67.8,63.4
03/01/2050,98.0,893.0,327.0,186.0,282.0,951.0,133.0,99.3,138.0,56.3,804.0,131.0,81.6,54.0,50.6,61.7,153.0,1050.0,84.2,325.0,95.6,77.6,67.7,63.3
03/02/2050,100.0,629.0,327.0,185.0,262.0,951.0,132.0,92.3,143.0,56.3,805.0,137.0,81.3,54.1,50.9,61.3,161.0,1060.0,84.2,326.0,95.7,77.9,67.9,64.3
03/03/2050,100.0,925.0,325.0,2020.0,267.0,948.0,134.0,84.8,143.0,56.3,677.0,139.0,81.1,56.3,50.6,61.4,161.0,1060.0,84.4,326.0,95.8,78.2,67.3,63.2
03/04/2050,100.0,1090.0,296.0,5370.0,301.0,1150.0,139.0,84.9,140.0,56.3,578.0,129.0,81.3,56.2,51.0,61.4,161.0,1060.0,84.3,325.0,95.5,78.0,67.5,63.3
03/05/2050,100.0,1090.0,250.0,5360.0,326.0,1590.0,140.0,83.2,139.0,56.4,440.0,127.0,79.4,56.0,50.8,53.1,161.0,1060.0,84.2,325.0,95.1,77.1,67.8,62.9
03/06/2050,100.0,1090.0,252.0,5330.0,325.0,1590.0,139.0,84.0,138.0,56.4,241.0,128.0,74.2,56.4,50.5,62.4,161.0,1050.0,84.2,345.0,95.7,75.2,70.3,63.0
03/07/2050,98.0,1090.0,254.0,5310.0,324.0,1560.0,137.0,84.3,143.0,56.5,307.0,127.0,74.4,56.4,50.6,66.0,161.0,1060.0,84.3,469.0,96.0,69.7,72.3,63.2
03/08/2050,98.0,1090.0,254.0,5290.0,328.0,1580.0,106.0,84.8,143.0,57.2,467.0,128.0,74.4,56.4,50.7,68.9,161.0,1060.0,84.4,455.0,96.1,65.3,72.7,63.1
03/09/2050,97.0,1090.0,253.0,5280.0,331.0,1600.0,136.0,88.7,150.0,57.5,579.0,129.0,75.3,56.4,50.7,78.9,163.0,696.0,84.3,375.0,96.2,65.7,73.2,63.2
03/10/2050,98.0,1090.0,252.0,2990.0,332.0,1600.0,162.0,90.8,150.0,53.0,580.0,129.0,83.6,58.6,50.7,85.0,162.0,404.0,84.3,375.0,95.9,65.2,72.9,63.4
03/11/2050,98.0,582.0,255.0,193.0,331.0,1610.0,162.0,83.2,136.0,52.4,581.0,129.0,95.0,56.3,50.5,74.2,161.0,404.0,84.2,374.0,96.0,63.8,72.7,63.5
03/12/2050,97.0,1090.0,257.0,188.0,334.0,1620.0,163.0,113.0,173.0,84.4,579.0,130.0,94.5,56.3,50.3,73.4,161.0,404.0,84.4,375.0,96.2,63.9,72.9,63.9
03/13/2050,98.0,1090.0,259.0,186.0,337.0,1630.0,162.0,110.0,173.0,94.8,580.0,129.0,94.5,56.3,50.4,73.4,161.0,375.0,84.4,375.0,96.1,64.1,73.0,64.8
03/14/2050,100.0,1090.0,254.0,186.0,336.0,1900.0,146.0,111.0,172.0,94.8,581.0,130.0,94.4,56.1,50.5,73.3,161.0,412.0,84.4,375.0,96.1,63.9,68.2,65.0
03/15/2050,99.0,1090.0,247.0,185.0,337.0,2110.0,127.0,109.0,172.0,96.6,580.0,131.0,94.3,55.7,50.1,73.3,161.0,412.0,78.0,377.0,95.8,63.9,65.7,65.4
03/16/2050,100.0,1080.0,245.0,183.0,325.0,2120.0,126.0,108.0,172.0,96.9,582.0,132.0,94.3,55.6,50.1,73.5,161.0,412.0,74.3,378.0,95.9,64.0,68.7,55.0
03/17/2050,101.0,1080.0,245.0,183.0,474.0,2130.0,128.0,107.0,173.0,99.4,580.0,131.0,94.1,55.6,50.1,73.8,200.0,410.0,74.3,378.0,97.1,63.7,70.7,56.5
03/18/2050,100.0,1080.0,244.0,182.0,560.0,2140.0,128.0,107.0,172.0,101.0,581.0,131.0,94.1,55.5,50.1,76.2,247.0,411.0,74.1,378.0,97.3,63.6,70.5,59.5
03/19/2050,100.0,1080.0,243.0,182.0,652.0,2140.0,129.0,106.0,158.0,100.0,484.0,131.0,94.1,55.5,50.1,73.8,240.0,411.0,74.0,378.0,98.7,63.8,70.6,59.4
03/20/2050,100.0,1080.0,241.0,181.0,657.0,2150.0,127.0,106.0,159.0,99.3,412.0,131.0,111.0,55.5,50.1,71.7,231.0,410.0,74.1,378.0,100.0,63.9,68.4,59.9
03/21/2050,99.0,1080.0,240.0,181.0,564.0,2160.0,122.0,101.0,159.0,99.5,410.0,130.0,105.0,55.2,50.1,77.5,152.0,412.0,74.1,378.0,100.0,63.9,67.6,60.2
03/22/2050,99.0,1090.0,240.0,181.0,452.0,2170.0,121.0,101.0,159.0,98.7,410.0,129.0,104.0,54.6,50.1,84.1,175.0,412.0,74.1,378.0,97.6,64.0,67.0,59.3
03/23/2050,99.0,1090.0,240.0,179.0,327.0,2180.0,120.0,101.0,159.0,91.2,411.0,129.0,103.0,54.6,50.1,87.4,279.0,412.0,74.1,378.0,95.1,65.7,62.1,59.5
03/24/2050,99.0,1090.0,240.0,179.0,146.0,2190.0,119.0,100.0,158.0,85.2,410.0,129.0,103.0,54.6,50.1,89.0,282.0,411.0,74.0,378.0,94.7,61.8,59.7,60.2
03/25/2050,99.0,1090.0,241.0,180.0,143.0,1600.0,119.0,101.0,159.0,85.2,411.0,129.0,103.0,54.6,50.1,94.3,281.0,409.0,74.0,378.0,94.6,60.5,60.1,61.1
03/26/2050,100.0,1090.0,243.0,179.0,261.0,1200.0,119.0,113.0,159.0,85.9,410.0,129.0,103.0,54.7,50.2,94.2,282.0,414.0,69.1,378.0,94.9,60.5,60.0,61.8
03/27/2050,99.0,1090.0,242.0,179.0,509.0,1210.0,121.0,134.0,157.0,83.2,410.0,128.0,102.0,54.6,44.2,94.4,281.0,387.0,65.9,378.0,94.7,73.9,59.9,61.9
03/28/2050,99.0,991.0,242.0,179.0,417.0,814.0,124.0,127.0,150.0,82.8,410.0,130.0,103.0,54.6,51.4,94.6,281.0,370.0,80.3,362.0,95.0,82.7,60.1,62.7
03/29/2050,98.0,580.0,242.0,178.0,139.0,549.0,122.0,218.0,150.0,83.3,410.0,131.0,98.8,54.6,51.5,95.2,281.0,410.0,68.4,261.0,94.8,82.9,60.3,63.7
03/30/2050,98.0,1090.0,242.0,176.0,134.0,556.0,123.0,292.0,151.0,87.6,409.0,131.0,93.0,54.6,51.6,94.5,281.0,409.0,79.2,221.0,95.0,86.4,60.1,64.4
03/31/2050,99.0,820.0,241.0,175.0,127.0,559.0,121.0,652.0,151.0,82.7,410.0,133.0,93.0,54.6,51.6,94.5,281.0,407.0,90.4,221.0,94.9,77.0,59.9,64.2
04/01/2050,102.0,625.0,242.0,975.0,186.0,563.0,120.0,1170.0,155.0,74.9,411.0,131.0,93.1,54.6,51.8,94.5,279.0,407.0,90.4,219.0,95.2,71.0,56.0,64.7
04/02/2050,103.0,620.0,237.0,1890.0,251.0,568.0,120.0,1150.0,155.0,68.8,410.0,130.0,92.7,55.1,51.8,82.7,276.0,408.0,90.3,211.0,96.0,67.1,51.5,65.6
